fornecedor,valor,descricao,categoria
KPMG,365.04,Processamento de salários e recibos verdes,Serviços de Contabilidade
Tranquilidade,1089.51,Seguro de saúde equipa técnica,Seguros
BDO,427.86,Serviços de contabilidade mensal,Serviços de Contabilidade
Tranquilidade,996.27,Apólice de seguro responsabilidade civil,Seguros
Endesa Energia,230.85,Fatura de eletricidade mês de março,Água Luz e Gás
Iberdrola Portugal,184.99,Consumo de água instalações desportivas,Água Luz e Gás
NOS Empresas,64.65,Mensalidade internet e telefone,Comunicações
Electricista Costa,327.25,Serviço de limpeza e manutenção geral,Manutenção e Reparações
EPAL,189.41,Água e saneamento mês de janeiro,Água Luz e Gás
FlixBus,140.5,Portagens deslocação equipa,Transportes e Deslocações
Tranquilidade,721.79,Apólice de seguro responsabilidade civil,Seguros
Gráfica Central,300.21,Campanha nas redes sociais,Publicidade e Marketing
Contabilidade Silva & Associados,209.42,Relatório de contas anual,Serviços de Contabilidade
Águas de Portugal,192.27,Fatura de eletricidade mês de março,Água Luz e Gás
Continente,114.39,Compras alimentares para evento desportivo,Alimentação e Bebidas
Delegado Ferreira,144.13,Consumo de água instalações desportivas,Água Luz e Gás
Árbitro Silva,145.87,Pagamento de árbitros jogo casa,Arbitragem e Competições
NOS,71.74,Mensalidade internet e telefone,Comunicações
Deloitte,229.38,Processamento de salários e recibos verdes,Serviços de Contabilidade
Gráfica Central,285.99,Produção de flyers para torneio,Publicidade e Marketing
Federação Portuguesa de Andebol,208.35,Honorários árbitro assistente,Arbitragem e Competições
Design Studio,345.21,Publicidade jornal local,Publicidade e Marketing
Mercadona,114.27,Compras supermercado para torneio,Alimentação e Bebidas
EPAL,292.32,Consumo de água instalações desportivas,Água Luz e Gás
Águas de Portugal,358.44,Serviços de contabilidade mensal,Serviços de Contabilidade
Allianz,45.71,Mensalidade internet e telefone,Comunicações
Águas de Portugal,189.11,Água e saneamento mês de janeiro,Água Luz e Gás
Puma,381.1,Compra de bolas de andebol,Material Desportivo
Lenovo,997.92,Tablet para gestão de treinos,Equipamento Informático
Endesa,121.45,Fatura bimestral de eletricidade,Água Luz e Gás
HP,1270.72,Tablet para gestão de treinos,Equipamento Informático
Intersport,470.37,Equipamento de treino para atletas,Material Desportivo
Federação Portuguesa de Andebol,139.46,Inscrição campeonato nacional,Arbitragem e Competições
Agência Criativa,321.45,Impressão de cartazes e banners,Publicidade e Marketing
Rentalhas,154.28,Combustível viagem torneio nacional,Transportes e Deslocações
Delegado Ferreira,354.5,Inscrição campeonato nacional,Arbitragem e Competições
HP,2400.0,Software de gestão desportiva,Equipamento Informático
Lidl,108.87,Snacks e lanches concentração,Alimentação e Bebidas
Pingo Doce,308.55,Compras supermercado para torneio,Alimentação e Bebidas
Árbitro Costa,272.54,Custos organização jogo oficial,Arbitragem e Competições
Intermarché,232.27,Catering jantar de gala do clube,Alimentação e Bebidas
NOS,488.67,Seguro de acidentes pessoais atletas,Seguros
Endesa Energia,110.85,Água e saneamento mês de janeiro,Água Luz e Gás
Serralharia Norte,299.05,Reparação canalização balneários,Manutenção e Reparações
Árbitro Silva,233.69,Honorários árbitro assistente,Arbitragem e Competições
Publico,302.56,Criação de site e presença online,Publicidade e Marketing
Auchan,59.89,Refeições pós-jogo para atletas,Alimentação e Bebidas
Endesa Energia,234.59,Consumo de água instalações desportivas,Água Luz e Gás
EPAL,182.62,Água e saneamento mês de janeiro,Água Luz e Gás
Worten,69.46,Fatura de eletricidade mês de março,Água Luz e Gás
Intersport,337.68,Compra de bolas de andebol,Material Desportivo
Associação Regional de Andebol,248.66,Quotas federação portuguesa de andebol,Arbitragem e Competições
El Corte Inglés,71.74,Refeições pós-jogo para atletas,Alimentação e Bebidas
Fidelidade,925.23,Seguro de acidentes pessoais atletas,Seguros
CP Comboios,130.99,Transporte atletas para competição,Transportes e Deslocações
NOS Empresas,38.75,Fatura telemóvel treinador,Comunicações
Galp Energia,176.78,Fatura bimestral de eletricidade,Água Luz e Gás
Tranquilidade,514.47,Seguro de equipamentos e material,Seguros
NMedia,250.99,Criação de site e presença online,Publicidade e Marketing
Zurich,490.65,Seguro de saúde equipa técnica,Seguros
Naturgy,268.82,Fornecimento de energia elétrica pavilhão,Água Luz e Gás
ManutençãoPro,223.7,Substituição de equipamentos danificados,Manutenção e Reparações
Rentalhas,108.32,Portagens deslocação equipa,Transportes e Deslocações
Ageas,425.19,Apólice de seguro responsabilidade civil,Seguros
Hertz,170.88,Fatura bimestral de eletricidade,Água Luz e Gás
NOWO,61.37,Fatura telemóvel treinador,Comunicações
Contabilidade Silva & Associados,543.89,Serviços de contabilidade mensal,Serviços de Contabilidade
TOC Independente,95.1,Processamento de salários e recibos verdes,Serviços de Contabilidade
Auchan,109.93,Água e bebidas isotónicas treinos,Alimentação e Bebidas
EDP Comercial,130.02,Fatura bimestral de eletricidade,Água Luz e Gás
Delegado Ferreira,134.24,Honorários árbitro assistente,Arbitragem e Competições
HP,284.28,Processamento de salários e recibos verdes,Serviços de Contabilidade
Serralharia Norte,339.35,Manutenção sistema elétrico pavilhão,Manutenção e Reparações
NOS Empresas,31.96,Fatura telemóvel treinador,Comunicações
Águas de Portugal,24.0,Fatura de eletricidade mês de março,Água Luz e Gás
Repsol,58.38,Combustível viagem torneio nacional,Transportes e Deslocações
Sport Zone,403.32,Sapatos e sapatilhas de andebol,Material Desportivo
Tranquilidade,773.01,Seguro de acidentes pessoais atletas,Seguros
Dell,683.88,Impressora para secretaria do clube,Equipamento Informático
HP,1982.8,Impressora para secretaria do clube,Equipamento Informático
TOC Independente,521.08,Relatório de contas anual,Serviços de Contabilidade
Agência Criativa,174.06,Publicidade jornal local,Publicidade e Marketing
MEO,58.51,Serviço de internet banda larga,Comunicações
Microsoft,1061.12,Tablet para gestão de treinos,Equipamento Informático
Delegado Ferreira,231.77,Taxa de participação torneio,Arbitragem e Competições
NOS,53.56,Mensalidade internet e telefone,Comunicações
El Corte Inglés,95.11,Compras alimentares para evento desportivo,Alimentação e Bebidas
Nike,322.93,Compra de bolas de andebol,Material Desportivo
EDP,110.43,Fatura bimestral de eletricidade,Água Luz e Gás
Adidas,235.09,Compra de sacos de desporto e mochilas,Material Desportivo
Electricista Costa,367.36,Arranjo de portões e vedações,Manutenção e Reparações
Design Studio,272.92,Criação de site e presença online,Publicidade e Marketing
TOC Independente,414.3,Relatório de contas anual,Serviços de Contabilidade
Design Studio,229.86,Campanha nas redes sociais,Publicidade e Marketing
ManutençãoPro,226.69,Substituição de equipamentos danificados,Manutenção e Reparações
ManutençãoPro,211.58,Design de logótipo do clube,Publicidade e Marketing
Endesa Energia,66.21,Consumo de água instalações desportivas,Água Luz e Gás
Federação Portuguesa de Andebol,219.22,Custos organização jogo oficial,Arbitragem e Competições
Asics,563.46,Coletes e fatos de treino,Material Desportivo
Associação Regional de Andebol,291.1,Quotas federação portuguesa de andebol,Arbitragem e Competições
BP,143.64,Portagens deslocação equipa,Transportes e Deslocações
ManutençãoPro,304.77,Pintura e remodelação escritório,Manutenção e Reparações
KPMG,158.24,Declaração fiscal anual do clube,Serviços de Contabilidade
Iberdrola Portugal,84.26,Consumo de água instalações desportivas,Água Luz e Gás
Gráfica Central,162.22,Design de logótipo do clube,Publicidade e Marketing
Printmaster,333.43,Impressão de cartazes e banners,Publicidade e Marketing
CP Comboios,144.21,Portagens deslocação equipa,Transportes e Deslocações
BP,105.49,Bilhetes de comboio campeonato,Transportes e Deslocações
Fixando,294.17,Substituição de equipamentos danificados,Manutenção e Reparações
NOS,149.4,Quotas federação portuguesa de andebol,Arbitragem e Competições
Fidelidade,774.51,Seguro de saúde equipa técnica,Seguros
Fixando,239.26,Pintura e remodelação escritório,Manutenção e Reparações
HP,893.66,Impressora para secretaria do clube,Equipamento Informático
Federação Portuguesa de Andebol,82.59,Honorários árbitro assistente,Arbitragem e Competições
Delegado Ferreira,182.38,Taxa de participação torneio,Arbitragem e Competições
TOC Independente,368.8,Consultoria financeira gestão associação,Serviços de Contabilidade
Worten,1351.47,Monitor e periféricos computador,Equipamento Informático
Pinturas Lisboa,461.98,Pintura e remodelação escritório,Manutenção e Reparações
NOS,35.26,Fatura telemóvel treinador,Comunicações
Allianz,1308.74,Seguro de acidentes pessoais atletas,Seguros
El Corte Inglés,155.83,Catering jantar de gala do clube,Alimentação e Bebidas
MEO Empresas,86.14,Mensalidade internet e telefone,Comunicações
Repsol,147.73,Combustível viagem torneio nacional,Transportes e Deslocações
Federação Portuguesa de Andebol,145.59,Honorários árbitro assistente,Arbitragem e Competições
EDP Comercial,165.35,Água e saneamento mês de janeiro,Água Luz e Gás
BP,114.46,Combustível viagem torneio nacional,Transportes e Deslocações
NOS,46.4,Pack comunicações sede do clube,Comunicações
Dell,508.63,Webcam e microfone reuniões online,Equipamento Informático
Galp,143.61,Bilhetes de comboio campeonato,Transportes e Deslocações
Lidl,236.23,Água e bebidas isotónicas treinos,Alimentação e Bebidas
Serralharia Norte,207.71,Reparação balneários instalações,Manutenção e Reparações
Printmaster,222.01,Impressão de cartazes e banners,Publicidade e Marketing
EPAL,138.53,Água e saneamento mês de janeiro,Água Luz e Gás
Árbitro Silva,229.25,Custos organização jogo oficial,Arbitragem e Competições
Asics,1394.29,Compra de portátil para escritório,Equipamento Informático
Dell,566.81,Webcam e microfone reuniões online,Equipamento Informático
Allianz,980.26,Seguro de saúde equipa técnica,Seguros
Auchan,75.98,Compras alimentares para evento desportivo,Alimentação e Bebidas
Asics,254.75,Compra de bolas de andebol,Material Desportivo
TecnoFix,49.93,Fatura telemóvel treinador,Comunicações
Endesa,171.55,Água e saneamento mês de janeiro,Água Luz e Gás
Printmaster,371.49,Publicidade jornal local,Publicidade e Marketing
Delegado Ferreira,290.75,Quotas federação portuguesa de andebol,Arbitragem e Competições
Publico,138.4,Design de logótipo do clube,Publicidade e Marketing
Ageas,644.5,Seguro de saúde equipa técnica,Seguros
NOWO,75.74,Mensalidade internet e telefone,Comunicações
Serralharia Norte,399.39,Pintura e remodelação escritório,Manutenção e Reparações
NOS,75.82,Serviço de internet banda larga,Comunicações
Nike,483.92,Sapatos e sapatilhas de andebol,Material Desportivo
Uber,119.6,Portagens deslocação equipa,Transportes e Deslocações
Pinturas Lisboa,146.55,Reparação canalização balneários,Manutenção e Reparações
BP,109.61,Táxi ou uber após jogo tardio,Transportes e Deslocações
Continente,126.96,Compras supermercado para torneio,Alimentação e Bebidas
Contabilidade Silva & Associados,264.76,Água e saneamento mês de janeiro,Água Luz e Gás
Gráfica Central,364.06,Criação de site e presença online,Publicidade e Marketing
Microsoft,1212.23,Tablet para gestão de treinos,Equipamento Informático
Lenovo,520.32,Software de gestão desportiva,Equipamento Informático
BDO,569.42,Serviços de contabilidade mensal,Serviços de Contabilidade
Gráfica Central,273.62,Publicidade jornal local,Publicidade e Marketing
Nike,495.74,Material de proteção e luvas de guarda-redes,Material Desportivo
Intermarché,142.32,Água e bebidas isotónicas treinos,Alimentação e Bebidas
El Corte Inglés,72.66,Refeições pós-jogo para atletas,Alimentação e Bebidas
Tranquilidade,457.43,Seguro de saúde equipa técnica,Seguros
Allianz,363.99,Renovação seguro instalações desportivas,Seguros
Serralharia Norte,406.14,Serviço de limpeza e manutenção geral,Manutenção e Reparações
Pinturas Lisboa,165.14,Substituição de equipamentos danificados,Manutenção e Reparações
TecnoFix,286.37,Manutenção sistema elétrico pavilhão,Manutenção e Reparações
Zurich,853.8,Seguro de acidentes pessoais atletas,Seguros
Hertz,76.49,Bilhetes de comboio campeonato,Transportes e Deslocações
Mercadona,173.05,Snacks e lanches concentração,Alimentação e Bebidas
Gráfica Central,262.76,Publicidade jornal local,Publicidade e Marketing
Árbitro Silva,283.53,Patrocínio e materiais de merchandising,Publicidade e Marketing
Samsung,774.49,Software de gestão desportiva,Equipamento Informático
Deloitte,135.86,Declaração fiscal anual do clube,Serviços de Contabilidade
Uber,77.01,Combustível viagem torneio nacional,Transportes e Deslocações
Nike,147.78,Aquisição de redes para baliza,Material Desportivo
Samsung,352.2,Impressora para secretaria do clube,Equipamento Informático
Águas de Portugal,256.55,Consumo de água instalações desportivas,Água Luz e Gás
El Corte Inglés,126.1,Compras supermercado para torneio,Alimentação e Bebidas
Repsol,66.13,Táxi ou uber após jogo tardio,Transportes e Deslocações
Iberdrola Portugal,132.66,Fornecimento de energia elétrica pavilhão,Água Luz e Gás
Microsoft,441.03,Impressora para secretaria do clube,Equipamento Informático
AXA,980.27,Renovação seguro instalações desportivas,Seguros
Associação Regional de Andebol,274.26,Pagamento de árbitros jogo casa,Arbitragem e Competições
Tranquilidade,1800.0,Seguro de equipamentos e material,Seguros
Fidelidade,965.63,Prémio de seguro anual clube,Seguros
Delegado Ferreira,224.3,Honorários árbitro assistente,Arbitragem e Competições
Contabilidade Silva & Associados,202.09,Processamento de salários e recibos verdes,Serviços de Contabilidade
Fidelidade,820.37,Seguro de saúde equipa técnica,Seguros
Árbitro Silva,173.17,Pagamento de árbitros jogo casa,Arbitragem e Competições
El Corte Inglés,18.24,Água e bebidas isotónicas treinos,Alimentação e Bebidas
Federação Portuguesa de Andebol,306.04,Inscrição campeonato nacional,Arbitragem e Competições
Deloitte,370.31,Compra de bolas de andebol,Material Desportivo
Generali,1205.51,Renovação seguro instalações desportivas,Seguros
KPMG,184.97,Serviços de contabilidade mensal,Serviços de Contabilidade
Asics,160.19,Sapatos e sapatilhas de andebol,Material Desportivo
FlixBus,204.39,Combustível deslocação a jogo fora,Transportes e Deslocações
Tranquilidade,399.96,Prémio de seguro anual clube,Seguros
EPAL,131.13,Fatura de gás aquecimento balneários,Água Luz e Gás
Associação Regional de Andebol,168.42,Honorários árbitro assistente,Arbitragem e Competições
Iberdrola Portugal,226.79,Fatura de eletricidade mês de março,Água Luz e Gás
KPMG,150.7,Consultoria financeira gestão associação,Serviços de Contabilidade
Hertz,133.27,Aluguer de autocarro para viagem,Transportes e Deslocações
Continente,332.81,Substituição de equipamentos danificados,Manutenção e Reparações
Serralharia Norte,132.26,Substituição de equipamentos danificados,Manutenção e Reparações
Sport Zone,699.81,Material de proteção e luvas de guarda-redes,Material Desportivo
NOS Empresas,41.61,Pack comunicações sede do clube,Comunicações
Lidl,141.87,Fatura de eletricidade mês de março,Água Luz e Gás
HP,40.0,Impressora para secretaria do clube,Equipamento Informático
NOWO,59.47,Fatura telemóvel treinador,Comunicações
KPMG,411.49,Serviços de contabilidade mensal,Serviços de Contabilidade
Asics,495.44,Coletes e fatos de treino,Material Desportivo
TOC Independente,392.72,Consultoria financeira gestão associação,Serviços de Contabilidade
BP,86.7,Portagens deslocação equipa,Transportes e Deslocações
Puma,290.03,Sapatos e sapatilhas de andebol,Material Desportivo
Associação Regional de Andebol,372.62,Pagamento de árbitros jogo casa,Arbitragem e Competições
TecnoFix,164.41,Substituição de equipamentos danificados,Manutenção e Reparações
Endesa,187.19,Fornecimento de energia elétrica pavilhão,Água Luz e Gás
NMedia,405.29,Patrocínio e materiais de merchandising,Publicidade e Marketing
Sport Zone,338.11,Compra de sacos de desporto e mochilas,Material Desportivo
HP,1826.92,Webcam e microfone reuniões online,Equipamento Informático
Intermarché,165.69,Bilhetes de comboio campeonato,Transportes e Deslocações
Uber,118.35,Combustível viagem torneio nacional,Transportes e Deslocações
Fidelidade,1027.99,Apólice de seguro responsabilidade civil,Seguros
Ageas,979.83,Prémio de seguro anual clube,Seguros
Agência Criativa,320.19,Criação de site e presença online,Publicidade e Marketing
Contabilidade Silva & Associados,256.44,Serviços de contabilidade mensal,Serviços de Contabilidade
Puma,461.91,Equipamento de treino para atletas,Material Desportivo
Mercadona,204.37,Compras alimentares para evento desportivo,Alimentação e Bebidas
Decathlon,526.73,Equipamento de treino para atletas,Material Desportivo
Intermarché,47.11,Compras alimentares para evento desportivo,Alimentação e Bebidas
Federação Portuguesa de Andebol,280.88,Inscrição campeonato nacional,Arbitragem e Competições
Allianz,1168.83,Renovação seguro instalações desportivas,Seguros
Mercadona,464.16,Compra de sacos de desporto e mochilas,Material Desportivo
Printmaster,277.89,Serviços de contabilidade mensal,Serviços de Contabilidade
Generali,174.53,Custos organização jogo oficial,Arbitragem e Competições
NOWO,36.63,Fatura telefonia fixa mensal,Comunicações
Rentalhas,160.25,Combustível deslocação a jogo fora,Transportes e Deslocações
Árbitro Costa,229.15,Honorários árbitro assistente,Arbitragem e Competições
Deloitte,504.73,Processamento de salários e recibos verdes,Serviços de Contabilidade
Electricista Costa,246.71,Reparação balneários instalações,Manutenção e Reparações
FlixBus,104.01,Táxi ou uber após jogo tardio,Transportes e Deslocações
El Corte Inglés,53.64,Compras supermercado para torneio,Alimentação e Bebidas
Auchan,121.96,Transporte atletas para competição,Transportes e Deslocações
Endesa,152.47,Fatura de eletricidade mês de março,Água Luz e Gás
AXA,1463.88,Seguro de equipamentos e material,Seguros
Associação Regional de Andebol,268.83,Pagamento de árbitros jogo casa,Arbitragem e Competições
PricewaterhouseCoopers,509.71,Relatório de contas anual,Serviços de Contabilidade
Delegado Ferreira,158.21,Honorários árbitro assistente,Arbitragem e Competições
Serralharia Norte,363.19,Substituição de equipamentos danificados,Manutenção e Reparações
Worten,1691.35,Compra de portátil para escritório,Equipamento Informático
EDP,154.11,Fatura de eletricidade mês de março,Água Luz e Gás
TOC Independente,112.09,Campanha nas redes sociais,Publicidade e Marketing
Intersport,312.38,Coletes e fatos de treino,Material Desportivo
Tranquilidade,1179.07,Renovação seguro instalações desportivas,Seguros
Associação Regional de Andebol,204.09,Taxa de participação torneio,Arbitragem e Competições
Sport Zone,157.86,Sapatos e sapatilhas de andebol,Material Desportivo
MEO,69.48,Pack comunicações sede do clube,Comunicações
Árbitro Costa,272.15,Quotas federação portuguesa de andebol,Arbitragem e Competições
Federação Portuguesa de Andebol,229.21,Taxa de participação torneio,Arbitragem e Competições
MEO Empresas,75.64,Serviço de internet banda larga,Comunicações
Endesa,108.35,Fatura bimestral de eletricidade,Água Luz e Gás
Deloitte,435.76,Relatório de contas anual,Serviços de Contabilidade
Tranquilidade,804.55,Prémio de seguro anual clube,Seguros
Árbitro Costa,174.52,Pagamento de árbitros jogo casa,Arbitragem e Competições
Árbitro Silva,130.36,Pagamento de árbitros jogo casa,Arbitragem e Competições
NMedia,384.7,Criação de site e presença online,Publicidade e Marketing
Microsoft,1490.63,Software de gestão desportiva,Equipamento Informático
Contabilidade Silva & Associados,607.59,Relatório de contas anual,Serviços de Contabilidade
CP Comboios,106.0,Transporte atletas para competição,Transportes e Deslocações
CP Comboios,94.66,Aluguer de autocarro para viagem,Transportes e Deslocações
Pingo Doce,283.58,Refeições pós-jogo para atletas,Alimentação e Bebidas
Delegado Ferreira,79.62,Honorários árbitro assistente,Arbitragem e Competições
ManutençãoPro,24.0,Pintura e remodelação escritório,Manutenção e Reparações
NMedia,309.98,Produção de flyers para torneio,Publicidade e Marketing
Lenovo,755.1,Impressora para secretaria do clube,Equipamento Informático
Electricista Costa,91.27,Pintura e remodelação escritório,Manutenção e Reparações
Hertz,137.39,Portagens deslocação equipa,Transportes e Deslocações
Design Studio,311.31,Design de logótipo do clube,Publicidade e Marketing
Publico,188.67,Design de logótipo do clube,Publicidade e Marketing
PricewaterhouseCoopers,584.52,Processamento de salários e recibos verdes,Serviços de Contabilidade
Microsoft,1818.95,Monitor e periféricos computador,Equipamento Informático
Nike,389.07,Monitor e periféricos computador,Equipamento Informático
Hertz,95.11,Bilhetes de comboio campeonato,Transportes e Deslocações
Dell,1203.72,Compra de portátil para escritório,Equipamento Informático
Contabilidade Silva & Associados,350.66,Auditoria às contas do exercício,Serviços de Contabilidade
Tranquilidade,269.8,Prémio de seguro anual clube,Seguros
Iberdrola,150.17,Água e saneamento mês de janeiro,Água Luz e Gás
Fidelidade,896.84,Seguro de acidentes pessoais atletas,Seguros
TOC Independente,318.88,Processamento de salários e recibos verdes,Serviços de Contabilidade
Zurich,689.66,Seguro de acidentes pessoais atletas,Seguros
AXA,874.93,Renovação seguro instalações desportivas,Seguros
Contabilidade Silva & Associados,482.3,Relatório de contas anual,Serviços de Contabilidade
Microsoft,1306.07,Compra de portátil para escritório,Equipamento Informático
Associação Regional de Andebol,191.35,Honorários árbitro assistente,Arbitragem e Competições
Apple,890.91,Impressora para secretaria do clube,Equipamento Informático
Lidl,994.44,Webcam e microfone reuniões online,Equipamento Informático
Iberdrola Portugal,162.58,Consumo de água instalações desportivas,Água Luz e Gás
Intersport,196.09,Sapatos e sapatilhas de andebol,Material Desportivo
Microsoft,1324.41,Impressora para secretaria do clube,Equipamento Informático
Publico,272.86,Campanha nas redes sociais,Publicidade e Marketing
Uber,75.42,Transporte atletas para competição,Transportes e Deslocações
Galp Energia,270.61,Água e saneamento mês de janeiro,Água Luz e Gás
Deloitte,438.95,Serviços de contabilidade mensal,Serviços de Contabilidade
Sport Zone,710.57,Equipamento de treino para atletas,Material Desportivo
Agência Criativa,277.76,Criação de site e presença online,Publicidade e Marketing
PricewaterhouseCoopers,471.45,Processamento de salários e recibos verdes,Serviços de Contabilidade
BDO,304.67,Serviço de limpeza e manutenção geral,Manutenção e Reparações
Vodafone,35.38,Pack comunicações sede do clube,Comunicações
ManutençãoPro,321.28,Pintura e remodelação escritório,Manutenção e Reparações
Pinturas Lisboa,273.41,Arranjo de portões e vedações,Manutenção e Reparações
NOWO,44.33,Fatura telemóvel treinador,Comunicações
Pinturas Lisboa,304.21,Pintura e remodelação escritório,Manutenção e Reparações
Lenovo,972.82,Software de gestão desportiva,Equipamento Informático
Puma,66.26,Material de proteção e luvas de guarda-redes,Material Desportivo
Rentalhas,12.28,Combustível viagem torneio nacional,Transportes e Deslocações
Worten,40.0,Webcam e microfone reuniões online,Equipamento Informático
Printmaster,301.11,Publicidade jornal local,Publicidade e Marketing
Worten,559.17,Impressora para secretaria do clube,Equipamento Informático
Repsol,120.4,Transporte atletas para competição,Transportes e Deslocações
Deloitte,497.43,Serviços de contabilidade mensal,Serviços de Contabilidade
Auchan,165.73,Água e bebidas isotónicas treinos,Alimentação e Bebidas
NOWO,66.03,Plano de dados móveis equipa técnica,Comunicações
Repsol,145.36,Aluguer de autocarro para viagem,Transportes e Deslocações
MEO Empresas,27.85,Plano de dados móveis equipa técnica,Comunicações
Fnac,1757.4,Impressora para secretaria do clube,Equipamento Informático
AXA,503.62,Prémio de seguro anual clube,Seguros
Delegado Ferreira,302.14,Taxa de participação torneio,Arbitragem e Competições
Ageas,1752.06,Apólice de seguro responsabilidade civil,Seguros
Fnac,1129.32,Webcam e microfone reuniões online,Equipamento Informático
MEO Empresas,56.15,Serviço de internet banda larga,Comunicações
El Corte Inglés,126.75,Catering jantar de gala do clube,Alimentação e Bebidas
Árbitro Costa,78.93,Pagamento de árbitros jogo casa,Arbitragem e Competições
EDP,30.84,Fornecimento de energia elétrica pavilhão,Água Luz e Gás
NOWO,65.15,Fatura telefonia fixa mensal,Comunicações
Continente,214.22,Catering jantar de gala do clube,Alimentação e Bebidas
Hertz,72.09,Transporte atletas para competição,Transportes e Deslocações
Intersport,539.69,Material de proteção e luvas de guarda-redes,Material Desportivo
Fidelidade,1018.98,Prémio de seguro anual clube,Seguros
MEO,73.13,Pack comunicações sede do clube,Comunicações
Rentalhas,76.9,Combustível deslocação a jogo fora,Transportes e Deslocações
Associação Regional de Andebol,33.59,Fatura telemóvel treinador,Comunicações
Intersport,104.01,Quotas federação portuguesa de andebol,Arbitragem e Competições
Pinturas Lisboa,216.6,Pintura e remodelação escritório,Manutenção e Reparações
Mercadona,105.9,Refeições pós-jogo para atletas,Alimentação e Bebidas
BDO,255.11,Consultoria financeira gestão associação,Serviços de Contabilidade
BDO,391.54,Relatório de contas anual,Serviços de Contabilidade
Fidelidade,499.99,Seguro de equipamentos e material,Seguros
Árbitro Costa,67.07,Taxa de participação torneio,Arbitragem e Competições
Auchan,313.05,Custos organização jogo oficial,Arbitragem e Competições
Printmaster,217.97,Campanha nas redes sociais,Publicidade e Marketing
Generali,714.11,Apólice de seguro responsabilidade civil,Seguros
TecnoFix,291.35,Declaração fiscal anual do clube,Serviços de Contabilidade
BP,132.95,Transporte atletas para competição,Transportes e Deslocações
El Corte Inglés,65.62,Táxi ou uber após jogo tardio,Transportes e Deslocações
Puma,312.18,Aquisição de redes para baliza,Material Desportivo
Hertz,206.32,Combustível deslocação a jogo fora,Transportes e Deslocações
Endesa,160.14,Consumo de água instalações desportivas,Água Luz e Gás
Zurich,643.72,Renovação seguro instalações desportivas,Seguros
PricewaterhouseCoopers,623.73,Relatório de contas anual,Serviços de Contabilidade
Árbitro Costa,149.64,Taxa de participação torneio,Arbitragem e Competições
Nike,94.43,Material de proteção e luvas de guarda-redes,Material Desportivo
Árbitro Silva,167.02,Custos organização jogo oficial,Arbitragem e Competições
Pingo Doce,623.21,Coletes e fatos de treino,Material Desportivo
Decathlon,368.54,Aquisição de redes para baliza,Material Desportivo
ManutençãoPro,45.18,Serviço de limpeza e manutenção geral,Manutenção e Reparações
